id,price_doc
30474,840857.4375
30475,1286333.25
30476,891791.5
30477,916762.875
30478,843206.3125
30479,1206394.75
30480,650539.9375
30481,650539.9375
30482,780584.6875
30483,650539.9375
30484,890464.0625
30485,832300.875
30486,601796.3125
30487,650539.9375
30488,849845.5625
30489,916762.875
30490,2511924.5
30491,3174825.0
30492,916762.875
30493,2035215.75
30494,966414.5
30495,1275337.5
30496,1504848.875
30497,1290506.125
30498,822703.125
30499,1236916.625
30500,1491064.625
30501,961886.0
30502,584691.625
30503,1062285.75
30504,888582.5
30505,1860181.625
30506,615527.1875
30507,843206.3125
30508,819014.4375
30509,1160962.125
30510,1343332.75
30511,933676.4375
30512,1026022.0
30513,650539.9375
30514,593450.1875
30515,1341787.375
30516,906662.3125
30517,1535841.0
30518,996473.875
30519,857793.5625
30520,916049.75
30521,850824.4375
30522,1379050.125
30523,910196.125
30524,1315754.625
30525,1909391.875
30526,843206.3125
30527,908622.875
30528,880521.3125
30529,916908.0625
30530,986160.6875
30531,1876229.0
30532,732174.125
30533,1537029.375
30534,956693.375
30535,1343332.75
30536,916762.875
30537,1830217.875
30538,928161.375
30539,1955044.625
30540,1389129.5
30541,1134600.75
30542,432529.3125
30543,877210.6875
30544,1201239.0
30545,1200569.0
30546,650539.9375
30547,1217349.875
30548,718250.8125
30549,879208.125
30550,1746694.375
30551,879208.125
30552,385244.0
30553,1092680.125
30554,1716250.625
30555,927191.75
30556,1187846.625
30557,1275337.5
30558,1381636.75
30559,998119.25
30560,975855.5
30561,961886.0
30562,1487038.75
30563,922441.4375
30564,994968.75
30565,1073947.0
30566,1083754.0
30567,432529.3125
30568,1491858.5
30569,1214936.375
30570,915198.375
30571,957620.8125
30572,843206.3125
30573,873302.5625
30574,959134.3125
30575,986160.6875
30576,715488.875
30577,873024.4375
30578,615527.1875
30579,961886.0
30580,844781.5
30581,790017.9375
30582,1605838.875
30583,966414.5
30584,794009.0625
30585,464497.5625
30586,1315754.625
30587,916762.875
30588,998119.25
30589,1140662.25
30590,1868787.75
30591,842036.25
30592,956514.5625
30593,1479603.5
30594,1772639.625
30595,898653.125
30596,959752.875
30597,873302.5625
30598,1343332.75
30599,1872012.75
30600,1378582.125
30601,910196.125
30602,432529.3125
30603,1804978.25
30604,794009.0625
30605,876179.75
30606,2399973.75
30607,1110413.625
30608,1070332.625
30609,916762.875
30610,584691.625
30611,819014.4375
30612,1032897.3125
30613,1064647.75
30614,2339067.75
30615,1027129.3125
30616,819014.4375
30617,1381636.75
30618,794009.0625
30619,811414.125
30620,508255.9375
30621,1218449.875
30622,1156021.5
30623,952856.3125
30624,1000938.9375
30625,1261937.125
30626,1008899.0
30627,1209152.375
30628,873302.5625
30629,837966.0
30630,941698.5625
30631,997878.5
30632,613110.5
30633,878804.9375
30634,1775700.375
30635,1343332.75
30636,840857.4375
30637,1343332.75
30638,986160.6875
30639,1063206.0
30640,718320.75
30641,1349188.625
30642,837966.0
30643,1258056.0
30644,1343332.75
30645,1160637.875
30646,840857.4375
30647,712999.25
30648,3221728.75
30649,508255.9375
30650,863729.375
30651,615527.1875
30652,724227.3125
30653,1003848.8125
30654,751468.125
30655,1229845.125
30656,645170.9375
30657,959134.3125
30658,1060898.75
30659,897785.3125
30660,1187477.375
30661,860106.0625
30662,1273251.0
30663,1674956.5
30664,1494658.125
30665,916762.875
30666,487208.21875
30667,618211.5625
30668,1207291.375
30669,794861.4375
30670,436339.6875
30671,1283942.125
30672,1516749.75
30673,1516820.625
30674,1643020.5
30675,432529.3125
30676,1190834.125
30677,857793.5625
30678,2533062.5
30679,959134.3125
30680,1127001.125
30681,393091.09375
30682,1181046.5
30683,1343332.75
30684,898653.125
30685,1172116.0
30686,1341787.375
30687,858756.1875
30688,837966.0
30689,1514802.75
30690,3810727.5
30691,857793.5625
30692,1013803.5
30693,1554619.5
30694,898653.125
30695,934714.3125
30696,1013666.25
30697,1491858.5
30698,1198116.625
30699,868592.1875
30700,843206.3125
30701,1343332.75
30702,933676.4375
30703,607809.25
30704,1421586.25
30705,1249864.125
30706,2654522.75
30707,608397.8125
30708,1972452.125
30709,835015.9375
30710,1167472.75
30711,751468.125
30712,645170.9375
